id,liveNameId,venueId,songId
152,live-tour-2019-catch-the-rainbow,8,55
153,live-tour-2019-catch-the-rainbow,8,22
154,live-tour-2019-catch-the-rainbow,8,73
155,live-tour-2019-catch-the-rainbow,8,67
156,live-tour-2019-catch-the-rainbow,8,58
157,live-tour-2019-catch-the-rainbow,8,71
158,live-tour-2019-catch-the-rainbow,8,12
159,live-tour-2019-catch-the-rainbow,8,43
160,live-tour-2019-catch-the-rainbow,8,38
161,live-tour-2019-catch-the-rainbow,8,62
162,live-tour-2019-catch-the-rainbow,8,53
163,live-tour-2019-catch-the-rainbow,8,44
164,live-tour-2019-catch-the-rainbow,8,63
165,live-tour-2019-catch-the-rainbow,8,23
166,live-tour-2019-catch-the-rainbow,9,21
167,live-tour-2019-catch-the-rainbow,9,56
168,live-tour-2019-catch-the-rainbow,9,35
169,live-tour-2019-catch-the-rainbow,9,39
170,live-tour-2019-catch-the-rainbow,9,74
171,live-tour-2019-catch-the-rainbow,9,27
172,live-tour-2019-catch-the-rainbow,9,30
173,live-tour-2019-catch-the-rainbow,9,55
174,live-tour-2019-catch-the-rainbow,9,22
175,live-tour-2019-catch-the-rainbow,9,73
176,live-tour-2019-catch-the-rainbow,9,67
177,live-tour-2019-catch-the-rainbow,9,58
178,live-tour-2019-catch-the-rainbow,9,13
179,live-tour-2019-catch-the-rainbow,9,12
180,live-tour-2019-catch-the-rainbow,9,43
181,live-tour-2019-catch-the-rainbow,9,38
182,live-tour-2019-catch-the-rainbow,9,62
183,live-tour-2019-catch-the-rainbow,9,53
184,live-tour-2019-catch-the-rainbow,9,44
185,live-tour-2019-catch-the-rainbow,9,63
186,live-tour-2019-catch-the-rainbow,9,23
187,live-tour-2019-catch-the-rainbow,9,68
188,5th-anniversary-live-starry-wishes,10,68
189,5th-anniversary-live-starry-wishes,10,73
190,5th-anniversary-live-starry-wishes,10,65
191,5th-anniversary-live-starry-wishes,10,18
192,5th-anniversary-live-starry-wishes,10,74
193,5th-anniversary-live-starry-wishes,10,50
194,5th-anniversary-live-starry-wishes,10,6
195,5th-anniversary-live-starry-wishes,10,28
196,5th-anniversary-live-starry-wishes,10,53
197,5th-anniversary-live-starry-wishes,10,43
198,5th-anniversary-live-starry-wishes,10,63
199,5th-anniversary-live-starry-wishes,10,38
200,5th-anniversary-live-starry-wishes,10,57
201,5th-anniversary-live-starry-wishes,10,37
202,5th-anniversary-live-starry-wishes,10,23
203,5th-anniversary-live-starry-wishes,10,11
204,live-tour-2021-hello-horizon,11,66
205,live-tour-2021-hello-horizon,11,19
206,live-tour-2021-hello-horizon,11,7
207,live-tour-2021-hello-horizon,11,73
208,live-tour-2021-hello-horizon,11,6
209,live-tour-2021-hello-horizon,11,24
210,live-tour-2021-hello-horizon,11,16
211,live-tour-2021-hello-horizon,11,55
212,live-tour-2021-hello-horizon,11,41
213,live-tour-2021-hello-horizon,11,63
214,live-tour-2021-hello-horizon,11,51
215,live-tour-2021-hello-horizon,11,43
216,live-tour-2021-hello-horizon,11,38
217,live-tour-2021-hello-horizon,11,32
218,live-tour-2021-hello-horizon,11,37
219,live-tour-2021-hello-horizon,11,9
220,live-tour-2021-hello-horizon,11,42
221,live-tour-2021-hello-horizon,11,28
222,live-tour-2021-hello-horizon,11,44
223,live-tour-2021-hello-horizon,11,23
224,live-tour-2021-hello-horizon,11,61
225,live-tour-2021-hello-horizon,12,66
226,live-tour-2021-hello-horizon,12,19
227,live-tour-2021-hello-horizon,12,7
228,live-tour-2021-hello-horizon,12,73
229,live-tour-2021-hello-horizon,12,6
230,live-tour-2021-hello-horizon,12,24
231,live-tour-2021-hello-horizon,12,16
